"year","Traveller_type","value"
1972,Excursionists (same-day),20159
1972,Tourists (overnight),128138
1973,Excursionists (same-day),22865
1973,Tourists (overnight),148120
1974,Excursionists (same-day),30144
1974,Tourists (overnight),134863
1975,Excursionists (same-day),20943
1975,Tourists (overnight),156953
1976,Excursionists (same-day),19625
1976,Tourists (overnight),162290
1977,Excursionists (same-day),23885
1977,Tourists (overnight),146499
1978,Excursionists (same-day),39167
1978,Tourists (overnight),160362
1979,Excursionists (same-day),34345
1979,Tourists (overnight),175346
1980,Excursionists (same-day),42625
1980,Tourists (overnight),132927
1981,Excursionists (same-day),49502
1981,Tourists (overnight),160018
1982,Excursionists (same-day),50451
1982,Tourists (overnight),155703
1983,Excursionists (same-day),51071
1983,Tourists (overnight),174448
1984,Excursionists (same-day),59191
1984,Tourists (overnight),181740
1985,Excursionists (same-day),65535
1985,Tourists (overnight),199441
1986,Excursionists (same-day),66907
1986,Tourists (overnight),220483
1987,Excursionists (same-day),65457
1987,Tourists (overnight),226412
1988,Excursionists (same-day),57644
1988,Tourists (overnight),215915
1989,Excursionists (same-day),62513
1989,Tourists (overnight),208935
1990,Excursionists (same-day),67948
1990,Tourists (overnight),212849
1991,Excursionists (same-day),62927
1991,Tourists (overnight),212284
1992,Excursionists (same-day),65920
1992,Tourists (overnight),247248
1993,Excursionists (same-day),75958
1993,Tourists (overnight),235620
1994,Excursionists (same-day),71426
1994,Tourists (overnight),242586
1995,Excursionists (same-day),81040
1995,Tourists (overnight),244550
1996,Excursionists (same-day),81824
1996,Tourists (overnight),237273
1997,Excursionists (same-day),89495
1997,Tourists (overnight),240882
1998,Excursionists (same-day),102672
1998,Tourists (overnight),271810
1999,Excursionists (same-day),104831
1999,Tourists (overnight),277714
2000,Excursionists (same-day),107413
2000,Tourists (overnight),264044
2001,Excursionists (same-day),102677
2001,Tourists (overnight),258218
2002,Excursionists (same-day),124482
2002,Tourists (overnight),243805
2003,Excursionists (same-day),128073
2003,Tourists (overnight),241973
2004,Excursionists (same-day),147982
2004,Tourists (overnight),234737
2005,Excursionists (same-day),154868
2005,Tourists (overnight),240552
2006,Excursionists (same-day),172586
2006,Tourists (overnight),230866
2007,Excursionists (same-day),180476
2007,Tourists (overnight),242598
2008,Excursionists (same-day),194039
2008,Tourists (overnight),202528
2009,Excursionists (same-day),178913
2009,Tourists (overnight),179435
2010,Excursionists (same-day),204709
2010,Tourists (overnight),194365
2011,Excursionists (same-day),205677
2011,Tourists (overnight),187408
2012,Excursionists (same-day),219330
2012,Tourists (overnight),180368
2013,Excursionists (same-day),238454
2013,Tourists (overnight),196648
2014,Excursionists (same-day),228204
2014,Tourists (overnight),185682
2015,Excursionists (same-day),224861
2015,Tourists (overnight),180259
2016,Excursionists (same-day),225451
2016,Tourists (overnight),193793
2017,Excursionists (same-day),240420
2017,Tourists (overnight),196459
2018,Excursionists (same-day),285129
2018,Tourists (overnight),216659
2019,Excursionists (same-day),337099
2019,Tourists (overnight),167928
2020,Excursionists (same-day),6999
2020,Tourists (overnight),23556
2021,Excursionists (same-day),6067
2021,Tourists (overnight),27035
2022,Excursionists (same-day),71249
2022,Tourists (overnight),99664
2023,Excursionists (same-day),338415
2023,Tourists (overnight),115608
2024,Excursionists (same-day),315956
2024,Tourists (overnight),82758
